policy_entropy,serial_timesteps,policy_loss,explained_variance,n_updates,approxkl,time_elapsed,total_timesteps,value_loss,clipfrac,fps,ep_len_mean,ep_reward_mean
1.0983295,256,-0.0012857557,-0.2519800662994385,1,0.00031074014,1.5974044799804688e-05,4096,0.8350185,0.0,3240,,
1.0973153,512,-0.0010735292,-0.9310663938522339,2,0.00020087029,1.2643649578094482,8192,0.14576365,0.0,4396,499.4375,-499.375
1.0961409,768,-0.0010892028,-2.641859769821167,3,0.0002846329,2.196460008621216,12288,0.09108624,0.0,1095,499.4375,-499.375
1.0936607,1024,-0.0005779956,-0.9084876775741577,4,0.00017062953,5.93521785736084,16384,0.09040704,0.0,4151,499.71875,-499.6875
1.0952029,1280,-0.0006847178,-0.4101337194442749,5,0.00014116196,6.922120809555054,20480,0.06298243,0.0,688,499.71875,-499.6875
1.0963739,1536,-0.0015406914,0.011928141117095947,6,0.00030235117,12.876040935516357,24576,0.06740611,0.0,2418,499.8125,-499.7916666666667
1.0945573,1792,-0.004354918,0.23775917291641235,7,0.0012881847,14.570364713668823,28672,0.05276872,0.0045776367,2866,499.8125,-499.7916666666667
1.0864341,2048,-0.0018125522,0.3375855088233948,8,0.00093227695,15.999523878097534,32768,0.05647652,0.00030517578,1319,499.859375,-499.84375
1.0627956,2304,-0.0046650805,0.2418116331100464,9,0.0034889875,19.103616952896118,36864,0.049339563,0.035583496,3295,479.74285714285713,-479.64285714285717
1.0383766,2560,-0.0050067473,0.6606022119522095,10,0.0030153417,20.346977949142456,40960,0.03543941,0.026367188,1193,436.6179775280899,-436.3258426966292
0.9882092,2816,-0.005463484,0.6478521227836609,11,0.0043260073,23.780669927597046,45056,0.03910348,0.03643799,3165,382.14,-381.67
0.9423417,3072,-0.0031605777,0.7085285782814026,12,0.0025340016,25.075477838516235,49152,0.036166564,0.016235352,3104,305.31,-304.61
0.8883744,3328,-0.002412822,0.7490777969360352,13,0.0020839863,26.395445823669434,53248,0.03931369,0.018493652,1988,198.94,-197.94
0.83950996,3584,-0.0024724524,0.7800849974155426,14,0.0017048749,28.4557888507843,57344,0.03966688,0.015808105,3073,159.75,-158.75
0.7945488,3840,-0.002258273,0.7693182975053787,15,0.0015247422,29.789212942123413,61440,0.043357708,0.0087890625,1495,138.33,-137.33
0.7338467,4096,-0.002938079,0.8098072856664658,16,0.0021175146,32.528825998306274,65536,0.03593769,0.024719238,2995,128.17,-127.17
0.690007,4352,-0.0017570009,0.8087664246559143,17,0.0010206222,33.89676380157471,69632,0.036659043,0.0107421875,3167,119.69,-118.69
0.66172016,4608,-0.0021438869,0.816740483045578,18,0.0009446138,35.19075298309326,73728,0.035222612,0.0048217773,2020,112.67,-111.67
0.6175549,4864,-0.0015671192,0.8251592367887497,19,0.0014782201,37.21865177154541,77824,0.029796656,0.011047363,3070,107.12,-106.12
0.5897474,5120,-0.0021460508,0.8071480989456177,20,0.0013589591,38.55326986312866,81920,0.033562906,0.013366699,1934,105.78,-104.78
0.5849527,5376,-0.0006269983,0.8202689439058304,21,0.0004934623,40.671611070632935,86016,0.026501467,0.0009765625,2948,105.94,-104.94
0.5732591,5632,-0.0013022451,0.8260709345340729,22,0.00086798996,42.06137180328369,90112,0.027732922,0.0057373047,1945,103.22,-102.22
0.5312533,5888,-0.0012833418,0.8226622194051743,23,0.0008942753,44.16770386695862,94208,0.027272142,0.008117676,3068,104.53,-103.53
0.5183959,6144,-0.0016417839,0.7983061075210571,24,0.0012520878,45.50304293632507,98304,0.029093493,0.010803223,3123,103.78,-102.78
0.48313692,6400,-0.0014235774,0.8099354207515717,25,0.0007531167,46.814658880233765,102400,0.027782625,0.0038452148,1880,107.87,-106.87
0.4603001,6656,-0.0018895329,0.8079530894756317,26,0.0008809012,48.99399280548096,106496,0.028839879,0.008361816,3135,105.51,-104.51
0.432981,6912,-0.000850404,0.8100851029157639,27,0.0003845725,50.300941944122314,110592,0.026859201,0.001159668,2228,100.83,-99.83
0.39402542,7168,-0.0012402707,0.7720803469419479,28,0.00091260974,52.13990092277527,114688,0.028221931,0.008850098,3076,99.27,-98.27
0.40410712,7424,-0.0013751483,0.820347860455513,29,0.00095535355,53.47175478935242,118784,0.025866345,0.010375977,3029,101.22,-100.22
0.3709249,7680,-0.0008245843,0.7493878602981567,30,0.0007544209,54.82449197769165,122880,0.030670173,0.0076293945,1906,100.42,-99.42
0.3839011,7936,-0.0002980328,0.8005586117506027,31,0.00015805567,56.97423481941223,126976,0.02781863,0.0,2836,94.88,-93.88
0.39060986,8192,-0.0013109884,0.8413078635931015,32,0.0009958568,58.41919684410095,131072,0.023260595,0.010498047,1889,95.61,-94.61
0.3521895,8448,-0.0007443429,0.8086218684911728,33,0.00026396645,60.58788585662842,135168,0.024819797,0.001159668,2950,91.57,-90.57
0.35352352,8704,-0.00036066174,0.8231187164783478,34,0.00038613722,61.976571798324585,139264,0.024402844,0.0029907227,3011,94.34,-93.34
0.35058355,8960,-0.001117465,0.8186527788639069,35,0.0007526534,63.337376832962036,143360,0.025172764,0.008300781,1850,93.12,-92.12
0.32002828,9216,-0.001106751,0.7754666656255722,36,0.0013889285,65.5514829158783,147456,0.02778844,0.0146484375,2974,94.78,-93.78
0.312258,9472,-0.00084500253,0.7893654108047485,37,0.0003799859,66.9291398525238,151552,0.026651597,0.001953125,1939,97.46,-96.46
0.30547917,9728,-0.0018207555,0.8036802709102631,38,0.0013661515,69.0413589477539,155648,0.027202405,0.012939453,2778,97.15,-96.15
0.29517475,9984,-0.001500364,0.8164181858301163,39,0.0010534743,70.51605796813965,159744,0.023905087,0.013549805,2927,96.02,-95.02
0.28117526,10240,-0.0013426418,0.80623359978199,40,0.0011617026,71.91561579704285,163840,0.026025463,0.014892578,1866,93.36,-92.36
0.27946317,10496,-0.00046576862,0.7718269973993301,41,0.0002750624,74.10999703407288,167936,0.029787924,0.001953125,2904,97.31,-96.31
0.2818002,10752,-0.00018534347,0.7996114641427994,42,7.076349e-05,75.52097511291504,172032,0.029078513,0.0,1725,98.7,-97.7
0.2780466,11008,-0.0009734367,0.7811406850814819,43,0.0007364386,77.895427942276,176128,0.030253453,0.008178711,3066,95.11,-94.11
0.27373552,11264,-0.00050420186,0.8179882168769836,44,0.0005538093,79.23204183578491,180224,0.028187726,0.0043945312,1938,94.34,-93.34
0.27900168,11520,-0.0009989804,0.8306670784950256,45,0.00032838876,81.34562397003174,184320,0.025003042,0.0026855469,2975,89.97,-88.97
0.2654683,11776,-0.0011852913,0.8305813819169998,46,0.00068771985,82.7228798866272,188416,0.025240868,0.009216309,2920,87.38,-86.38
0.2577858,12032,-0.0010432292,0.8256058394908905,47,0.0016347655,84.12608575820923,192512,0.022790974,0.020446777,1915,87.45,-86.45
0.2336499,12288,-0.00056048244,0.7894465774297714,48,0.00033424125,86.26562404632568,196608,0.029023133,0.003540039,3074,92.94,-91.95
