#{"t_start": 1600179371.55232, "env_id": null}
r,l,t
39.0,39,0.813279
20.0,20,0.823442
16.0,16,0.86055
102.0,102,0.995208
142.0,142,1.173286
148.0,148,1.406081
182.0,182,1.64327
56.0,56,1.719796
104.0,104,1.846497
130.0,130,2.008127
121.0,121,2.172547
136.0,136,2.334459
131.0,131,5.802777
184.0,184,6.06088
220.0,220,6.464751
486.0,486,7.129711
500.0,500,17.050834
381.0,381,17.552878
233.0,233,17.866284
201.0,201,18.122448
192.0,192,18.3813
113.0,113,20.749794
124.0,124,20.921684
45.0,45,20.999848
113.0,113,21.13716
136.0,136,21.332461
110.0,110,21.502317
170.0,170,21.729441
166.0,166,21.965912
146.0,146,22.196823
250.0,250,26.179864
500.0,500,26.846128
500.0,500,27.554318
500.0,500,35.999416
500.0,500,36.623357
500.0,500,45.302167
500.0,500,46.005252
500.0,500,46.643966
200.0,200,54.875662
500.0,500,55.573651
500.0,500,56.270757
500.0,500,64.369817
500.0,500,65.013167
500.0,500,72.972975
500.0,500,73.599173
500.0,500,74.242784
