#{"t_start": 1600583648.880577, "env_id": null}
r,l,t
-1040.749181,200,1.999088
-1600.271886,200,2.751131
-1106.619479,200,3.503961
-1090.66381,200,4.248335
-1369.126699,200,5.005848
-1345.388759,200,5.758406
-882.180955,200,6.51547
-1764.797599,200,7.340585
-1288.772841,200,8.189125
-1318.838421,200,9.100374
-1363.866588,200,10.017695
-1240.729663,200,10.805995
-1077.471025,200,11.572154
-1540.329781,200,12.350186
-1115.680175,200,13.242447
-1574.913644,200,14.035716
-1029.267279,200,14.79924
-851.314301,200,15.553357
-1635.982822,200,16.343018
-1371.44831,200,17.130548
-1397.665406,200,17.9194
-1057.202008,200,18.761575
-1199.913106,200,19.544269
-1045.909165,200,20.320354
-785.098247,200,21.135824
-1198.04901,200,22.071147
-971.826932,200,23.117031
-1533.91583,200,24.082422
-1037.607019,200,25.266674
-998.153164,200,26.136789
-1072.4013,200,26.961987
-1071.722011,200,27.68964
-856.708524,200,28.465341
-1071.058401,200,29.193297
-969.801986,200,29.966303
-1026.394639,200,30.732545
-1163.630917,200,31.511829
-1189.50775,200,32.302785
-972.190352,200,33.075074
-1077.863943,200,33.908296
-1270.288774,200,34.786624
-853.205692,200,35.582529
-1353.314808,200,36.352617
-1260.962216,200,37.121494
-1275.992634,200,37.913978
-1213.40539,200,38.69694
-1548.848095,200,39.484826
-1748.764467,200,40.260458
-1199.333115,200,41.106166
-1425.96291,200,41.88361
-972.750923,200,54.215424
-861.045524,200,55.182227
-1187.588294,200,55.989242
-896.566869,200,56.835646
-852.941423,200,57.740869
-1126.730357,200,58.627008
-888.386309,200,59.477528
-1072.315365,200,60.256593
-960.940899,200,61.120337
-972.204282,200,61.920269
-1175.613174,200,62.905464
-1061.068285,200,63.807079
-979.273107,200,64.674303
-1197.209739,200,65.41346
-1716.167874,200,66.162105
-947.333171,200,66.905915
-962.036205,200,67.640268
-1368.054247,200,68.375214
-1095.616133,200,69.124694
-1355.729026,200,69.888727
-1167.534189,200,70.644253
-1325.272574,200,71.407546
-1255.162016,200,72.273171
-1133.201049,200,73.150857
-1197.534826,200,73.987412
-887.725877,200,74.747716
-1064.08344,200,75.504961
-1184.984353,200,76.264854
-1193.098785,200,77.026316
-1198.392277,200,77.804141
-1100.801736,200,78.561073
-1046.400623,200,79.31694
-923.079029,200,80.06309
-1004.496024,200,80.821606
-1349.758817,200,81.587484
-902.38187,200,82.355748
-902.416748,200,83.12009
-1368.58747,200,83.914353
-1250.311976,200,84.723677
-1272.819639,200,85.522445
-796.224053,200,86.308018
-1305.26766,200,87.199993
-1052.077974,200,88.093095
-1230.396759,200,88.974169
-1245.749083,200,89.740512
-1253.8269,200,90.504473
-1208.584709,200,91.260551
-1197.201573,200,92.020515
-665.152417,200,92.783423
-923.569044,200,93.548639
-867.338852,200,110.560792
-1045.877152,200,111.334499
-1166.171457,200,112.096865
-1181.986832,200,112.860873
-908.612111,200,113.612877
-699.075402,200,114.372124
-1035.672538,200,115.135365
-684.80775,200,115.886716
-404.059565,200,116.635493
-478.250668,200,117.425722
-377.831424,200,118.250896
-125.214766,200,119.20865
-128.293572,200,120.142437
-243.652538,200,121.10281
-3.816854,200,121.873858
-125.108523,200,122.626924
-128.515358,200,123.391895
-2.025099,200,124.215729
-381.727424,200,125.0489
-239.159511,200,125.877159
-239.831759,200,126.636242
-348.868036,200,127.399744
-237.788849,200,128.155997
-127.256042,200,128.918701
-128.651281,200,129.67876
-128.546672,200,130.431005
-124.828031,200,131.190865
-237.691235,200,131.960076
-245.668436,200,132.733506
-462.510081,200,133.582139
-125.654957,200,134.452091
-124.79498,200,135.317479
-250.533321,200,136.146795
-247.075627,200,136.904011
-124.321174,200,137.659998
-236.657482,200,138.418121
-127.363023,200,139.170508
-358.197751,200,139.914898
-1.977386,200,140.666827
-126.760133,200,141.41368
-235.034052,200,142.161124
-127.930158,200,142.916391
-366.430139,200,143.668146
-1.948829,200,144.403352
-237.184552,200,145.134545
-126.041363,200,145.861966
-120.19239,200,146.583503
-236.273759,200,147.315365
-238.217473,200,148.168607
-120.375893,200,149.048887
